epoch,experiment,total_epochs,neurons,batch_size,lag,direct_features,nearby_counties,nearby_features,run,train_rmse,test_rmse
34,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.15309082,27.29238286
35,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.11306669,27.30857444
36,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.08581427,26.96125072
37,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.01850874,26.86639385
38,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.12928906,26.88513049
39,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.95983962,26.5030604
40,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.9854275,26.4903032
41,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.85438571,26.16700007
42,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.98024841,26.25409498
43,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.93177455,26.379835399999997
44,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.948919400000001,26.09572387
45,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.82584967,25.96747146
46,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.80316977,25.90409448
47,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.83752231,26.00316875
48,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.82533292,26.26051321
49,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.92456323,26.44720799
50,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.85992649,26.30553281
51,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.85865519,26.38292235
52,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.94713797,26.49226813
53,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.7310613,26.44701919
54,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.90108212,26.74866863
55,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.89263362,26.75862918
56,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.85346826,26.09507568
57,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.77341874,26.21428046
